Source,Gold_MetricLabel,Extracted_MetricLabel,Dim_Match,Formula_Match,LabelSim,DefSim
ZAVERI,Absence of ontology hijacking,absence of ontology hijacking,Yes,N/A,1.0,0.938
ZAVERI,No negative dependencies/correlation among properties,no negative dependencies/correlation among properties,Yes,N/A,1.0,1.0
ZAVERI,No inconsistencies in spatial data,no inconsistencies in spatial data,Yes,N/A,1.0,1.0
ZAVERI,Correct domain and range definition,correct domain and range,Yes,N/A,0.75,1.0
ZAVERI,No inconsistent values,no inconsistent values,Yes,N/A,1.0,0.917
ZAVERI,High intensional conciseness,high intensional conciseness,Yes,N/A,1.0,1.0
ZAVERI,high extensional conciseness,high extensional conciseness,Yes,N/A,1.0,0.929
ZAVERI,Usage of unambiguous annotations/labels,usage of unambiguous annotations/labels,Yes,N/A,1.0,0.875
ZAVERI,Schema completeness,schema completeness,Yes,N/A,1.0,1.0
ZAVERI,Property completeness,property completeness,Yes,N/A,1.0,0.938
ZAVERI,Population completeness,population completeness,Yes,N/A,1.0,1.0
ZAVERI,Interlinking completeness,interlinking completeness,Yes,N/A,1.0,1.0
ZAVERI,Relevant terms within metainformation attributes,relevant terms within metainformation attributes,Yes,N/A,1.0,0.944
ZAVERI,Coverage,coverage,Yes,N/A,1.0,1.0
ZAVERI,Trustworthiness of statements,trustworthiness of statements,Yes,N/A,1.0,0.889
ZAVERI,Trustworthiness through reasoning,trustworthiness through reasoning,Yes,N/A,1.0,1.0
ZAVERI,"Trustworthiness of statements,
datasets and rules","trustworthiness of statements, datasets and rules",Yes,N/A,1.0,0.962
ZAVERI,Trustworthiness of a resource,trustworthiness of a resource,Yes,N/A,1.0,1.0
ZAVERI,Trustworthiness of the information provider,trustworthiness of the information provider,Yes,N/A,1.0,0.593
ZAVERI,Trustworthiness of information provided (content trust),trustworthiness of information provided (content trust),Yes,N/A,1.0,0.875
ZAVERI,Reputation of the dataset,reputation of the dataset,Yes,N/A,1.0,1.0
ZAVERI,"Human-readable labelling of
classes, properties and entities as well as presence of
metadata","human-readable labelling of classes, properties and entities as well as presence of metadata",Yes,N/A,1.0,1.0
ZAVERI,Indication of one or more exemplary URIs,indication of one or more exemplary URIs,Yes,N/A,1.0,1.0
ZAVERI,"indication of a regular expression that matches the URIs of
a dataset",indication of a regular expression that matches the URIs of a dataset,Yes,N/A,1.0,1.0
ZAVERI,"indication of an exemplary
SPARQL query",indication of an exemplary SPARQL query,Yes,N/A,1.0,1.0
ZAVERI,"indication of the vocabularies
used in the dataset",indication of the vocabularies used in the dataset,Yes,N/A,1.0,0.75
ZAVERI,Provision of message boards and mailing lists,provision of message boards and mailing lists,Yes,N/A,1.0,0.889
ZAVERI,Freshness of datasets based on currnecy and volatility,freshness of datasets based on currency and volatility,Yes,N/A,0.667,1.0
ZAVERI,Freshness of datasets based on their data source,freshness of datasets based on their data source,Yes,N/A,1.0,1.0
ZAVERI,Keeping URIs short,keeping URIs short,Yes,N/A,1.0,0.857
ZAVERI,No use of prolix RDF features,no use of prolix RDF features,Yes,N/A,1.0,0.857
ZAVERI,Re-use of existing terms,re-use of existing terms,Yes,N/A,1.0,1.0
ZAVERI,Re-use of existing vocabularies,re-use of existing vocabularies,Yes,N/A,1.0,1.0
ZAVERI,Use of self-descriptive formats,use of self-descriptive formats,Yes,N/A,1.0,0.778
ZAVERI,"Detecting the interpretability of
data",detecting the interpretability of data,Yes,N/A,1.0,0.889
ZAVERI,"Invalid usage of undefined
classes and properties",invalid usage of undefined classes and properties,Yes,N/A,1.0,0.833
ZAVERI,"No misinterpretation of missing
values",no misinterpretation of missing values,Yes,N/A,1.0,1.0
ZAVERI,Provision of the data in different serialization formats,provision of the data in different serialization formats,Yes,N/A,1.0,0.857
ZAVERI,Provision of the data in various languages,provision of the data in various languages,Yes,N/A,1.0,1.0
IEEE,Compliance cost,Compliance cost,N/A,N/A,1.0,1.0
IEEE,Fixed record value,Fixed record value,N/A,N/A,1.0,0.923
IEEE,IP value,IP value,N/A,N/A,1.0,1.0
IEEE,Maintenance cost,Maintenance cost,N/A,N/A,1.0,1.0
IEEE,Market price,Market price,N/A,N/A,1.0,1.0
IEEE,Replacement cost,Replacement cost,N/A,N/A,1.0,1.0
IEEE,Revenue loss,Revenue loss,N/A,N/A,1.0,0.846
IEEE,Rival access loss,Rival access loss,N/A,N/A,1.0,1.0
IEEE,Storage cost,Storage cost,N/A,N/A,1.0,1.0
IEEE,Camera resolution,Camera resolution,N/A,N/A,1.0,1.0
IEEE,Customer lifetime value,Customer lifetime value,N/A,N/A,1.0,0.375
IEEE,Field value,Field value,N/A,N/A,1.0,1.0
IEEE,Image quality,Image quality,N/A,N/A,1.0,1.0
IEEE,Data information entropy,Data information entropy,N/A,N/A,1.0,1.0
IEEE,Event information measure,Event information measure,N/A,N/A,1.0,1.0
IEEE,KNN Shapley value,KNN Shapley value,N/A,N/A,1.0,1.0
IEEE,Lexical semantic uniqueness,Lexical semantic uniqueness,N/A,N/A,1.0,1.0
IEEE,Mutual information,Mutual information,N/A,N/A,1.0,1.0
IEEE,Scarcity,Scarcity,N/A,N/A,1.0,1.0
IEEE,Access interval,Access interval,N/A,N/A,1.0,0.889
IEEE,Frequency,Frequency,N/A,N/A,1.0,1.0
IEEE,Number of accesses,Number of accesses,N/A,N/A,1.0,0.889
IEEE,Potential user count,Potential user count,N/A,N/A,1.0,1.0
IEEE,Purpose,Purpose,N/A,N/A,1.0,1.0
IEEE,Read write profile,Read write profile,N/A,N/A,1.0,1.0
IEEE,Recency,Recency,N/A,N/A,1.0,1.0
IEEE,User count,User count,N/A,N/A,1.0,1.0
IEEE,User role,,N/A,N/A,0.0,0.0
IEEE,Usage over time,Usage over time,N/A,N/A,1.0,1.0
IEEE,Fidelity,Fidelity,N/A,N/A,1.0,1.0
IEEE,Goods condition,Goods condition,N/A,N/A,1.0,1.0
IEEE,Market price,,N/A,N/A,0.0,0.0
IEEE,nKudos,,N/A,N/A,0.0,0.0
IEEE,Personal data differential price,Personal data differential price,N/A,N/A,1.0,1.0
IEEE,Provider assessment,Provider assessment,N/A,N/A,1.0,1.0
IEEE,Relevancy,Relevancy,N/A,N/A,1.0,1.0
IEEE,Revenue,Revenue,N/A,N/A,1.0,1.0
IEEE,Rival access loss,,N/A,N/A,0.0,0.0
IEEE,Service outcome,Service outcome,N/A,N/A,1.0,1.0
IEEE,Safety distance,Safety distance,N/A,N/A,1.0,1.0
IEEE,User assessment,User assessment,N/A,N/A,1.0,1.0
IEEE,User priority,User priority,N/A,N/A,1.0,1.0
