MetricLabel,Definition,Formula,Dimension
coverage,measuring the coverage and level of detail in a dataset to ensure that the data retrieved is appropriate for the task at hand,,Relevancy
trustworthiness of statements,"computing statement trust values based on provenance information, opinion-based methods, provenance information and trust annotations in semantic web social networks, or provenance history",,Trustworthiness
trustworthiness through reasoning,using annotations for data to encode blacklists and authority information,,Trustworthiness
"trustworthiness of statements, datasets and rules",using trust ontologies that assign trust values transferable from known to unknown data using content-based or metadata-based methods,,Trustworthiness
trustworthiness of a resource,computing trust values between two entities through a path using propagation algorithms and aggregation across paths,,Trustworthiness
trustworthiness of the information provider,"computing trustworthiness of the information provider by construction of decision networks informed by provenance graphs, checking lists of trusted providers, or indicating publisher trust level on a 1–9 scale",,Trustworthiness
trustworthiness of information provided (content trust),checking content trust based on associations that transfer trust from content to resources,,Trustworthiness
reputation of the dataset,assignment of explicit trust ratings to the dataset by humans or analyzing external links or page ranks,,Trustworthiness
"human-readable labelling of classes, properties and entities as well as presence of metadata","detection of human-readable labelling of classes, properties and entities as well as indication of metadata such as name, description, and website",,Understandability
indication of one or more exemplary URIs,detect whether the pattern of the URIs is provided,,Understandability
indication of a regular expression that matches the URIs of a dataset,detect whether a regular expression that matches the URIs is present,,Understandability
indication of an exemplary SPARQL query,detect whether examples of SPARQL queries are provided,,Understandability
indication of the vocabularies used in the dataset,checking whether a list of vocabularies used in the dataset is provided,,Understandability
provision of message boards and mailing lists,checking the effectiveness and efficiency of the usage of the mailing list and/or message boards,,Understandability
freshness of datasets based on currency and volatility,detecting freshness of datasets based on currency and volatility,"max(0, 1 − currency / volatility)",Timeliness
freshness of datasets based on their data source,detecting freshness of datasets based on their data source by measuring the distance between the last modified time of the data source and the last modified time of the dataset,,Timeliness
keeping URIs short,detection of long URIs or those that contain query parameters,,Representational-conciseness
no use of prolix RDF features,"detection of RDF primitives such as RDF reification, RDF containers, and RDF collections",,Representational-conciseness
re-use of existing terms,detection of whether existing terms from all relevant vocabularies for that particular domain have been reused,,Interoperability
re-use of existing vocabularies,usage of relevant vocabularies for that particular domain,,Interoperability
use of self-descriptive formats,identifying objects and terms used to define these objects with globally unique identifiers,,Interpretability
detecting the interpretability of data,"detecting the use of appropriate language, symbols, units, datatypes, and clear definitions",,Interpretability
invalid usage of undefined classes and properties,"detection of invalid usage of undefined classes and properties, i.e. those without any formal definition",,Interpretability
no misinterpretation of missing values,detecting the use of blank nodes,,Interpretability
provision of the data in different serialization formats,checking whether data is available in different serialization formats,,Versatility
provision of the data in various languages,checking whether data is available in different languages,,Versatility
